killed,pov15,emp15,ab100k15,mdhinc15,snap15,bagrad15,nohs2515,wbrat15,rural15,pop15
0,16.8,89.7,0.234782609,61518,13.8,14,0.183333333,2.342105263,1,3317
0,9.1,85.6,0.371704745,84306,5.7,14.7,0.160440123,6.669144981,1,5739
6,8.2,73.9,0.378207749,78326,8.4,33.2,0.070132066,11.09325567,0.04864994,298312
0,25.2,59.7,0.206550802,51012,37.2,11.6,0.210398136,15.04225352,0.705524582,17940
0,7.2,77.6,0.368700265,79750,5.8,20,0.080123267,109.4,1,892
0,12.7,78.6,0.355359765,81544,4.1,33.3,0.047722343,138.3846154,1,1913
0,18.1,59.7,0.234988881,54173,24.7,16.2,0.134676564,54.82352941,1,4999
5,8.1,67.1,0.310999944,71068,7.4,31.7,0.055781484,17.60898618,0.356484695,99639
0,5.3,74.4,0.24914966,58750,8.9,35.6,0.046018614,2062,1,2484
0,11.9,70.6,0.19058296,52419,17.4,26.6,0.095975232,22.74468085,1,2118
0,6.6,77.5,0.399207528,85746,8.2,38.5,0.051955633,54.34624697,0.208502489,32603
2,10,66.4,0.271677915,63684,9,22.8,0.065886211,132.5482094,0.839590555,58044
0,12.1,71.2,0.28593127,64222,13.1,23.8,0.081330472,160,0.240674668,13689
0,11.3,73.2,0.313087175,70887,10.3,24.7,0.096180881,114.3787879,0.366773524,13789
0,33.3,48.6,0.095662507,38229,54.1,5,0.224986479,13.28571429,1,8109
0,16.8,69.3,0.17311609,50781,19.1,12.9,0.127039627,40.625,0.601006557,1567
8,10,64.9,0.322689562,72983,10.7,20.7,0.07747059,84.27007299,0.659680639,101120
0,27,60.7,0.205811966,48868,31.5,14.1,0.154145799,23.88888889,0.452,9875
1,10.2,79.1,0.358307849,72576,16.4,13.9,0.112685023,49.796875,0.590321389,9690
0,23.8,57.3,0.299001576,63648,32.4,10.6,0.213416149,37.96,1,7764
0,10.2,77.7,0.317757009,67935,9.3,25.3,0.060313076,23.96907216,1,3149
0,14.6,63.3,0.212522046,48523,22.6,15.5,0.094418605,248.1666667,0.216479766,6360
0,9,78.3,0.298963134,70376,9.9,31.2,0.072250121,59.79381443,1,8844
0,4.4,82.8,0.285714286,69318,2.5,35.9,0.026515152,0,1,1058
0,14.5,65.3,0.230987246,62670,12,17.9,0.078651685,70.05,1,6826
0,10.9,66.2,0.363787375,78810,7.7,28.7,0.075110689,0,1,9308
0,11.8,73.6,0.173913043,48603,14.6,19.9,0.098459846,333,1,2400
0,5.4,79.7,0.24,72500,12.8,15.3,0.054794521,28.33333333,1,620
0,22.4,58.8,0.142280525,38491,30.9,11.2,0.177533164,77.17647059,1,5541
4,36.6,43.6,0.077054795,31757,26.8,10.8,0.232185026,37.92307692,0.782339915,71594
5,17.9,54.4,0.167352791,45075,15.8,22.9,0.133711279,20.65379255,0.387036127,126395
5,22.7,70.6,0.204358738,50234,14.1,33.6,0.115796486,40.18249883,0.425830293,139076
2,22.7,56.7,0.105600459,39751,19.6,16.7,0.160116676,109.5755208,0.531408649,53138
0,22.6,50.8,0.132950087,45964,21.8,13.2,0.152330378,36.85421995,0.403158706,37673
1,13.7,61.4,0.168685927,51628,8.9,10.8,0.143236544,58.00719424,0.490850869,9525
3,19.1,58.5,0.069941271,34466,15.5,9.9,0.240521021,375.825,0.639728332,20147
142,17,71.3,0.231604042,54229,11.8,30.4,0.132302969,15.24231013,0.023926983,4161637
12,19.8,55,0.100047011,38488,17.4,11.8,0.159649962,79.0074171,0.255123477,204165
4,30.6,50.6,0.101907469,35921,26.4,14.7,0.18548243,72.26907074,0.566159682,108363
34,19.3,67.1,0.175497488,46162,15,30.3,0.124186907,21.52919193,0.076076923,1008205
